Pharmacy Name,النوع,Location,Detailed_Location ,Phone
الشفاء,الصيدليات,بعلبك,النبي شيت-الشارع الرئيسي-الغربيي ملك الموسو عقار 3209,08/335484
الشفاء,الصيدليات,بعلبك,بعلبك- حي راس العين شارع راس العين اللقس عقار رقم 6640 ملك ورثة المرحوم محمد سعيد اللقيس,08/376338
الشفاء,الصيدليات,الهرمل,الهرل-الدورة ملك اليتامى عقار 1612,08/201166
الشفاء,الصيدليات,بعبدا,المريجة-تحويطة الغدير-ملك رياض حمود عقار 13/102,01/476746
الشفاء,الصيدليات,بعبدا,فرن الشباك-طريق الشام ملك كميل شعيا عقار 681,01/291202-01/291204
الشفاء,الصيدليات,عاليه,بشامون الشارع العام ملك مؤيد شجاع عقار 1821,05/272823
الشماس,الصيدليات,الكورة,اميون-الطريق العام ملك حنا نصار عقار 5945,06/950689
الشمال,الصيدليات,زغرتا,كفرحاتا زغرتا الشارع العام ملك كمال وانطوان بلعيس عقار 113 القسم 14,06/660843
الشمالي,الصيدليات,المتن,البوشرية-ملكها عقار 1332 قسم 2 و5,01/682735
الشمس,الصيدليات,زحلة,المعلقة اراضي الشارع العام عقار 28 معلقة اراضي قسم 6 - 7 A ملك ابراهيم رفيق الحاوي,08/931078
الشمس,الصيدليات,بعبدا,خلدة-سنتر سالم ملك مها شمس الدين عقار 471,NA
الشمس,الصيدليات,عاليه,الشويفات-خلدة-القبة ملك اكرم حمزه عقار 2131,05/800670
الشهداء,الصيدليات,بعبدا,عين الرمانة-غنوم-مار مارون ملك جوزف ومارون مسعود عقار 1133,01/285744
الشوف الاعلى,الصيدليات,الشوف,بتلون حي الشريفه الشارع الرئيسي عقار غير ممسوح ملك رجا ملحم محمود,05/240083
الشوف الحديثة,الصيدليات,الشوف,بقعاتا-طريق عام بقعاتا-عين وزين ملك رامز الحسيني لا يوجد رقم عقار,05/507575
الشوير,الصيدليات,المتن,ضهور الشوير-حي الساحة ضهور الشوير شارع فارس - عقار 152 المحلين الرابع والخامس من نفس العقارملك فيفيان مطر,04/390092
الشويفات,الصيدليات,عاليه,العمروسية-قرب البلدية ملك اكرم داوود سليمان عقار 46 قسم 6,05/433022
الشيخ,الصيدليات,بعبدا,الشياح-حسن كنج-الغبيري-ملك حسين محمد زغيب عقار 1890قسم 8,01/274466
الشير,الصيدليات,الكورة,اميون-الشارع الرئيسي ملك روبير الشماس عقار 2954,06/951231
الصادق,الصيدليات,بعبدا,برج البراجنة-العنان ملك فاطمة جلول عقار 1389,01/456708
الصادق الحديثة,الصيدليات,عاليه,الشويفات-العمروسية ملك محمدر شيدفواز عقار 7/2389,05/481061
الصادق(ع),الصيدليات,بعبدا,الشياح العقارية -القسم A6 من العقار رقم 4435 ملك عباس ابو طعام,NA
الصانع,الصيدليات,بيروت,راس النبع-توفيق سالم ملك السعيد رقم العقار 705/6,01/654476
الصباح,الصيدليات,المتن,ضبية ذوق الخراب الحي سانت ريتا الشارع سانت ريتا ملك ملحم عون عقار 888 قسم 4,NA
الصباح,الصيدليات,بعبدا,الغبيري-مارون مسك-ملك يوسف علي الرومي عقار 4907 في منطقة الشياح العقارية القسمين 5 و 6,01/272040
الصحة,الصيدليات,زغرتا,أرده طريق عام طرابلس الضنية عقار 636 ملك روزه عازار,06/667489
الصحة,الصيدليات,المتن,برج حمود عقار رقم 1264 القسم 6 بملكها,NA
الصحة,الصيدليات,بعلبك,اللبوة -حي امهز -الطريق الدولي عقار رقم 396/اللبوه ملك فهد صبحي الحاج,71/246737
الصحة,الصيدليات,بعلبك,بيت شاما الشارع العام رقم العقار 838 ملك ليلى حسن قاسم,08/912937
الصحة,الصيدليات,زحلة,رياق ملك نعيم عبدو مراد عقار 481,NA
الصحة والحياة,الصيدليات,المتن,بيت مري-طريق عام بيت مري/بيروتعين سعاده ملك شديد عقار 9/3972,04/533401-04/533400
الصعود,الصيدليات,المتن,الضبية الشارع العام حي الملاح ملك وفيق الملاح عقار 309,04/544552
الصفاء,الصيدليات,الشوف,قبرشمون ملك وسم العريضي عقار 2653 قسم 13,05/410202
الصيادلة,الصيدليات,الشوف,المختارة-الشارع العام ملك وليد بك جنبلاط رقم العقار 87,05/310868
الصيدلية La Pharmacie,الصيدليات,زحلة,زحلة شارع كسارة التلال ملك حسين علي الدلباني عقار 3820,08/817910
الصيدلية الالمانية,الصيدليات,بعبدا,منطقة الشياح العقارية القسم رقم 7 من العقار رقم 1559 بلوك F ملك حسين علي شحرور,01/842077
الصيدلية الجديدة,الصيدليات,زغرتا,ارده-الرميله ملك شربل يرق عقار 1422,NA
الصيدلية الطبية Medical Pharmacy,الصيدليات,عاليه,الشويفات -حي العمروسيه -شارع الخطيب -عقار رقم C5/1732 ملك السبلاني,03/731505
الصيدلية اللبنانية الاميركية,الصيدليات,عاليه,الشويفات حي القبة الشارع العام عقار 1107 ملك عبدالله ابو فخر,05/437075
الصيدلية المركزية,الصيدليات,زحلة,تعلبايا زحلة طريق الشام الدولي عقار 1833 ملك خالد محمود القادري,08/508566
الصيفي,الصيدليات,بيروت,منطقة الصيفي -عقار رقم 1053/الصيفي -القسم (OC1(4C ملك الشركة اللبنانية لتطوير واعادة اعمار وسط مدينة بيروت ش.م.ل,03/090700
الضاحية,الصيدليات,بعبدا,برج البراجنة حي مفرق العنان شارع خديجة همدر عقار2105 القسم 7 ملك انعام محمد عمار,01/467550
الضنية,الصيدليات,المنية الضنية,عاصون-الشارع العام-الكفير-ملك ناهدة هاشم رفاعية عقار 600,06/490940
الضياء,الصيدليات,الشوف,حارة الناعمة-الشقيف ملك حمزة رقم العقار 2/813,05/600585
الطبية MEDICALE,الصيدليات,بيروت,بيروت حي راس النبع الشارع دوناماريا رقم الشارع 83 ملك احمد وخالد ابراهيم الحاج عقار 651 القسم 7,01/646420
الطحش,الصيدليات,زحلة,قب الياس حي الكروم الشارع العام ملك نوره ابراهيم درويش عقار 4,08/501382
الطلياني,الصيدليات,بيروت,المصيطبة-جبل العرب-وطى المصيطبة-شركة المطبوعات اللبنانية رقم العقار 1636/7,01/312254
الطوارىء الجديدة,الصيدليات,بعلبك,دروس بعلبك حي مفرق التعاضد الشارع العام مقابل محطة الجبلي ملك حسين حسن الحسيني عقار رقم 2363 في دروس,08/372879
الطيونة,الصيدليات,بعبدا,الغبيري-راغب علامة-الطيونة ملك عساف عقار 5393,01/399562
الظريف,الصيدليات,بيروت,بيروت-رشيد نخلة-الظري,01/368447-01/368446
العازار,الصيدليات,الكورة,بشمزين -خزامي ملكه عقار 2359 قسم 14,03/340252
العاكوم AKOUM Pharmacy,الصيدليات,عاليه,منطقة الشويفات -حي القبه -عقار رقم 1822 القسمين 7و8 ملك نديم فؤاد ابوحسن,03/692419 05/808316
العالم الجديد,الصيدليات,كسروان,كفرياسين ملك انطوان شلهوب عقار 554,09/850868
العباس,الصيدليات,زحلة,علي النهري حي الساحة ملك طليس عقار 279,08/920533
العبير,الصيدليات,البقاع الغربي,المنارة-حي القطين -الشارع العام -عقار 73-المحلين الاول والثاني من الجهة الجنوبية -ملك عبد الفتاح الورداني,NA
العبير الجديدة,الصيدليات,بعبدا,الغبيري-شاهين-الطيونة-ملك عبد شاهين عقار 3882,01/399110
العتر,الصيدليات,بيروت,طريق الجديدة-محمد ملك ديه رقم العقار 4217,01/652779
العجمي,الصيدليات,زحلة,مجدل عنجر حي المصنع طريق الشام ملك بهجة بيضون واسماعيل العجمي عقار 1153,NA
العدلية,الصيدليات,بيروت,الاشرفية-الفرد نقاش ملك امال تابت رقم العقار 4634,01/422900
العرقوب,الصيدليات,عاليه,الشويفات-المعروسية ملك نايف طالب عقار 2251,05/431690
العسيلي,الصيدليات,عاليه,الشويفات حي الأمراء شارع الأمراء رقم العقار 892 ملك مصطفى محمد بريدي,05/430468
العصرية,الصيدليات,زحلة,زحلة-الجسر-قاصوف عقار - 2 -,08/821209
العطاء,الصيدليات,بعلبك,يونين العقارية -محلة الزهيرية -الطريق العام -عقار رقم 1834 ملك سويد والعرب,08/305448
العطايا,الصيدليات,المتن,سن الفيل-مار الياس ملكه عقار 1938 قسم 5,01/488188
العفيش,الصيدليات,زحلة,سعدنايل عقار 2518 ملك منى خالد خالد و عماد خالد خالد,08/508107
العقل,الصيدليات,المتن,بكفيا-الساحة ملك الكتائب اللبنانية قسم بكفيا عقار 1033,04/980090
العقيبه,الصيدليات,كسروان,العقيبه الشارع العام ملك جرجي عبد الاحد القزي عقار 454 القسم رقم 5,09/440050
العلا,الصيدليات,عاليه,الشويفات القبة الدوحة الطريق العام ملك داوود سنو عقار 2598 قسم 3,05/810081
العلاء,الصيدليات,عاليه,الشويفات-العمروسية ملك محمد طويل عقار 1891,03/728759
العمورى,الصيدليات,البقاع الغربي,كفريا-الطريق العام ملك محمد حممود عقار 919,08/645045-08/645045
العناية,الصيدليات,الكورة,راس مسقا شارع راس مسقا الكورة ملك ابراهيم حازم فيزه عقار 1793 القسم 23,NA
العناية,الصيدليات,البقاع الغربي,جب جنين الشارع العام ملك حسين عجرم عقار 1828,08/660277
العناية,الصيدليات,زحلة,برالياس-طريق الشام-ملك وديع القاضي عقار 2092,08/511170
العناية,الصيدليات,بيروت,المصيطية-المعلوف ملك المقدم سعيد ممتاز رقم العقار 876/875,01/318693
العيادة,الصيدليات,بعبدا,الغبيري-القسم 7 ملك سارة قاسم فارس والقسم 8 ملك علي المعروف بألكس قاسم فارس من نفس العقار 4345/ الشياح العقارية بلوك ب,01/857095
الغدير,الصيدليات,بعلبك,بدناييل ملك محمد المصري عقار 607,08/910458-08/823796
الغدير,الصيدليات,بعبدا,برج البراجنة حي البرج شارع السياد-مطعم الهلال عقار 10/3121 ملك علي عون بكري,01/473060
الغرب,الصيدليات,عاليه,عيتات-المشرح ملك اسعد حميدان عقار 192,05/270237
الغولف,الصيدليات,بعبدا,الغبيري-الغولف-ملك ابراهيم حيدر عقار 72/4708,01/853101
الفؤاد,الصيدليات,زغرتا,مجدليا عقار رقم 39 بلوك B مخزن رقم 42 ملك حيدر احمد غانم,06/391923
الفادي,الصيدليات,بعبدا,فرن الشباك-طريق الشام-ابوعيد وحكيم عقار 3/192,01/283612
الفادي,الصيدليات,بعبدا,حمانا-الطريق العام-الراعي الصالح ملك عادل ابو الحسن عقار 2900,05/530206
الفارابي,الصيدليات,زحلة,عنجر-دمشق الدولي ملك عمشه نبها عقار 3353,08/620634
الفاروق,الصيدليات,الشوف,شحيم -حي محلة النهر -الشارع العام -النهر -شحيم -البرجين عقار رقم 4769 ملك عدنان محمد شعبان,07/243543
الفاروق,الصيدليات,عاليه,الشويفات حي القبة شارع التمثال ملك وجيه و وسيم عبد الله نعيم عقار 2327 القسم 10,05/806724
الفاكهة,الصيدليات,بعلبك,الفاكهة -حي القرية -الطريق الرئيسي -عقار رقم 2209 ملك علي حمد كبار,NA
الفتوح,الصيدليات,كسروان,القطين-ملك فارس بو نجم عقار 21,09/925161
الفرمشية,الصيدليات,المتن,سن الفيل-الامير بشير-حرش تابت-بناية مستشفى الحايك عقار 2176,01/491790
الفنار,الصيدليات,المتن,الفنار-ملك منتهى شلهوب حي الفنار عقار 1176,01/872873
الفيحاء,الصيدليات,بيروت,المزرعة-فليفل-كورنيش المزرعة الخطيب رقم العقار 2771,01/318184
القائم,الصيدليات,بعبدا,حارة حريك-حي بئر العبد شارع هادي نصرالله عقار 911 القسم 7 ملك احمد محمد شرف الدين والقسم 8 ملك محمد سمير علي احمد,01/273852
القاسم,الصيدليات,بعبدا,حارة حريك شارع عبدالنور عقار 2304 القسم رقم 8 ملك حسن وعباس حسين حمود والقسم رقم 9 ملك غسان عبد الرضى عاصي,01/541641
القاضي,الصيدليات,بيروت,بيروت المصيطبة شارع بن زياد ملك الغفور والعكش رقم العقار 4742/6,01/365286
القاع,الصيدليات,بعلبك,"القاع حي السيدة طريق عام ""القاع -حمص"" ملك طانيوس حجار سعد عقار 591",08/825422
القدس,الصيدليات,بعلبك,بعلبك-كميل شمعون المخيم ملك جوزف قرعة عقار 4681,08/372132
القدس,الصيدليات,البقاع الغربي,مشغرة حي الشير الشارع العام الرئيسي رقم العقار 198/مشغرة ملك كامل حسن صالح,08/651390
القديس بندلايمون,الصيدليات,الكورة,كوسبا ملك ورثة يوسف صادق عقار 3677,06/510029
القديس سابا,الصيدليات,المتن,الروضة-ملك شربل بو سمعان عقار 1564,01/682545
القرعون,الصيدليات,البقاع الغربي,القرعون الشارع العام ملك زيب خرفان عقار 385,08/630731
القرية,الصيدليات,بعبدا,القرية-الشارع العام-ملك عباس وضو عقار 237,05/260770
القسيس,الصيدليات,كسروان,بلونة-الطريق العام-مؤسسة جادكو للبناء عقار 719 قسم 17,09/235328
القصر,الصيدليات,الشوف,شحيم -حي القصر -الشارع العام - عقار 5701 قسم 4ملك هدى الحلبي,07/240540
القلعة,الصيدليات,راشيا,راشيا-سوق راشيا الميدان ملك وقف كنيسة السيدة الارثوذكس عقار 4291 : 192,08/595349
القنيطرية,الصيدليات,المتن,بيت شباب-طريق عين عار/بيت شباب القنيطرة ملك سهيل فرج الله عقار 5/3206,04/911144
الكسندر,الصيدليات,بيروت,الاشرفية-اديب اسحق ملك جيزال كفوري رقم العقار463,01/333807-01/200498/88
الكفاءات,الصيدليات,بعبدا,الليلكي الحدث شارع الامام علي (4) ملك خطار محمد اسماعيل عقار 2718,05/464457
الكفاءة,الصيدليات,بعلبك,بعلبك-بشارة الخوري ملك غازي الفيتروني عقار 4260,08/374734
الكلية,الصيدليات,بيروت,راس بيروت-محطة غراهام ملك الداعوق رقم العقار 341/1,01/367900
الكوثر,الصيدليات,بعبدا,تحويطة الغدير-الطريق العام ملك محمد بربر عقار 545,05/482114
الكوكودي,الصيدليات,بعبدا,برج البراجنة -عقار رقم 3147 -ملك هادي حسان خليل,01/455435
الكيال,الصيدليات,البقاع الغربي,مشغرة-الشارع العام مار نقولا ملك الياس وانيس وسمير قرقش عقار 732,08/650700-08/650700
اللبان الجديدة,الصيدليات,بيروت,الحمراء-فردان-حبيب سرور ملك عزت شكري رقم العقار 1344,01/812424-01/810214
اللبوة,الصيدليات,بعلبك,اللبوة طريق بعلبك حمص -عقار رقم 281 -ملك احمد نجيب حمود رباح,NA
اللجا,الصيدليات,بيروت,بيروت-الضناوي-اللجا-المصيطبة رقم العقار1212 قسم 4,01/818525
اللقيس,الصيدليات,البقاع الغربي,حوش الحريمة عقار 141 الشارع العام ملك سليم محمود رباح,08/641395
الليسيه,الصيدليات,بيروت,بيروت حي الاشرفية شارع الليسيه الفرنسية رقم العقار 1326 قسم 4 ملك انطوانيت ابراهيم القرعوني,01/422010
الليكي فارما Allailaki pharma,الصيدليات,بعبدا,الحدث -حي الليلكي -شارع الامام علي (ع)عقار رقم 2718 الحدث ملك خطار محمد اسماعيل,05/460863
الما,الصيدليات,بيروت,بيروت-بطرس البستاني-زقاق البلاط ملك جواد رقم العقار 285,01/377041
المازن,الصيدليات,راشيا,الرفيد-الشارع العام -عقار رقم 3188 -ملك علي عبد الغني ثريا,08/560256-03/168455
المتحف,الصيدليات,بيروت,بيروت -التحف ملك سلامة,01/615823-01/615963
المتن,الصيدليات,المتن,جل الديب-الساحة-بناية فكتور زرد عقار 4,01/410075-01/410700
المجتبى الحديثة,الصيدليات,بعبدا,الحدث حي الجامعة ملك لطيفه حسين علويه عقار 3050,05/482433
المجد,الصيدليات,الكورة,,06/416257
المحبة,الصيدليات,عاليه,عينات طريق شملان سوق الغرب ملك وهيب طربية عقار 1252,05/271717
المختار,الصيدليات,بعلبك,شمسطار حي كروم الوادي الشارع العام عقار 2532 ملك حسين علي شحيتلي,08/330222
المختار,الصيدليات,زحلة,علي النهري-سه التوبة-ملك محمد العربجي عقار251,08/920202
المدينة,الصيدليات,بعلبك,بعلبك-مار جرجس-البربارة ملك عوض جيق عقار 2596,08/374621
المدينة,الصيدليات,بيروت,بيروت حي راس بيروت سارع الحمراء رقم الهقار 397 ملك ورثة الامير سعد بن عبدالعزيز آل سعود,01/343043-01/349349
المدينة الفاضله,الصيدليات,بعلبك,العين-الشارع العام ملك بدرية حلومم عقار 702,03/723936
المرتضى,الصيدليات,بعلبك,بعلبك-بشارة الخوري-سنتر مرتضى عقار 3286,08/370873
المرج,الصيدليات,زحلة,المرج-الطريق العام محمود ميتا عقار 384,NA
المرفأ,الصيدليات,بيروت,بيروت منطقة المرفأ العقارية الحي المرفأ شارع المارسييز رقم القسم 12/ 193 ملك يولا ميشال عسيلي,01/568278
المركزية,الصيدليات,بيروت,بيروت الباشورة شارع الام جيلاس ملك اصحاب السمو الامراء طلال وساره ومنيرة وهيلدا ابناء الملك سعود بن عبد العزيز أل سعود عقار 1447 الباشورة رقم المأجور 30,01/970637
المروج,الصيدليات,المتن,المروج-ملك يوسف بو داغر عقار 386,04/295741
المزاوي,الصيدليات,زحلة,حوش حالا-الشارع العام ملك حسن ايوب عقار 1175,08/901414
المستقبل,الصيدليات,المنية الضنية,المنية الضنية الاوتستراد الشارع العام ملك مصطفى ملص عقار 2463 قسم 1-2-3,03/459178
المستقبل,الصيدليات,زحلة,جدل عنجر-المصنع ملك محمد عليي ضاهر عقار 1201,08/620218
المستقبل,الصيدليات,بيروت,المزرعة-عبدالغني العريسي-برجاوي ودره رقم العقار 1517,01/661825
المشرق,الصيدليات,المتن,سن الفيل حي حرش تابت بملكها رقم العقار 2263 القسم 5,01/501504-6
المصري,الصيدليات,بعلبك,بعلبك-طريق حمص-الشراونة-ملك علي زغيب عقار 737,08/373631
المصطفى,الصيدليات,بعلبك,عرسال الشارع حي الشمال ملك محمود الحجيري عقار 6118,70/383892
المصطفى,الصيدليات,بعبدا,حارة حريك-عبدالنور ملك محمود فلسطيني عقار 7/726,01/555121
المصيطبة,الصيدليات,بيروت,المصيطبة-الضناوي ملك شفيق سنو رقم العقار 1195 قسم 3 و 4,01/818289
المطار,الصيدليات,بعبدا,برج البراجنة-طريق المطار ملك حسن يحفوفي عقار 2931,01/455377-01/455477
المعاملتين,الصيدليات,كسروان,غزير حي المعاملتين الطريق العام عقار رقم 4 /غزير ملك طانيوس جوزف التحومي و مركريت جورج حريق,09/851564
المعلم,الصيدليات,زحلة,مكسة-الشارع العام-كرمات مكسة-ملك شاتيلا وبشعلاني عقار 619 قسم 7 بلوك أ,08/544849
المعمورة,الصيدليات,بعبدا,برج البراجنة-المعمورة-ملك كنيعو وياسين عقار 1596,01/473338
الملاذ,الصيدليات,بعلبك,عرسال حي المعيصره-عقار رقم 3397 ملك محمد حميد,NA
الملاك,الصيدليات,بعبدا,الحدث الليلكي-ملك حمزة مراد عقار 401 قسم 14,05/466226
المنار,الصيدليات,بيروت,المصيطبة-مارالياس ملك بهاء تميم رقم العقار 39 قسم 19,01/303116
المنارة,الصيدليات,البقاع الغربي,المنارة-طريق راشيا ملك عائدة ايوب عقار 52,70/794915
المنال,الصيدليات,بيروت,المزرعة-المعري ملك محمود المصري عقار 3/1445,01/651090
المنتظر,الصيدليات,بعلبك,الخضر-حي الشعب-الشارع العام عقار رقم 84و85 ملك علي الأكبر عودة,08/345700
المنشية,الصيدليات,بعبدا,برج البراجنة-المنشية ملك سعيد رضا عقار 422,01/474263
المنصورية,الصيدليات,المتن,المنصورية بيار الجميل-ساحة الشهداء ملك خوري عقار 123,04/400456
المنى,الصيدليات,زحلة,مجدل عنجر طريق الشام ملك حسين عبد الخالق عقار 1628,08/622117
المنى الحديتة,الصيدليات,المتن,المنصورية-الطريق العام ملك حاموش عقار 2004,04/409019
المنيب,الصيدليات,راشيا,القرية الرفيد الشارع العام ملك محمد ابراهيم الحاج عقار 3028,08/560530-03/560530
المها,الصيدليات,الكورة,دده-الشارع العام ملك عقل غجر عقار 1526/ 12,06/405119
الميس,الصيدليات,زحلة,تعنايل-طريق بيروت دمشق-ملك جان عساف صوايا عقار 429,08/544877
الميسم,الصيدليات,بعلبك,معربنا حي المزرعة الطريق العام ملك الديراني عقار 165,08/912107
الميلاد,الصيدليات,المتن,البوشرية-مار يوحنا-السد-الشويري-جان الراسي عقار 2418/15,01/871284
الناصرة,الصيدليات,بيروت,الاشرفية-مستشفى رزق-الناصرة ملك توفيق فرحات رقم العقار 4018 قسم 2,01/327321
الناعمة,الصيدليات,الشوف,الناعمة-طريق صيدا/بيروت القديمة مقابل كنيسة مار الياس ملك عيد رقم العقار 155,05/602684
النجاة,الصيدليات,كسروان,كفرذبيان-الشارع العام-التلة- بملكها عقار 986 القسم 8,09/711225
النجاة,الصيدليات,الشوف,سبلين-الشهيد كمال جنبلاط-وادي الزينة ملك احمد ابو الشباب رقم العقار 170/5,NA
النجاة,الصيدليات,بعلبك,عرسال حي البستان عقار رقم 7645 ملك شحاده حميد,NA
النجاة,الصيدليات,بعلبك,الطيبة حي الطيبة طريق عام بعلبك زحلة ملك محمد علي اسماعيل عقار 1131,NA
النجاة,الصيدليات,زحلة,رياق-الشارع العام-ملك حسني المكحل عقار 672,08/920761
النجاة,الصيدليات,عاليه,الشويفات-طريق عرمون-القبة ملك يوسف ضعيفي عقار 2006,05/803737
النجاة-زحلة,الصيدليات,زحلة,زحلة-مارالياس ملك الفير برييدي عقار 87/ 3 أ,08/817860
النجاح,الصيدليات,بعلبك,حي المهاجرين -شارع نحله القديم -عقار رقم 5495 -ملك مروان حسين صلح,NA
النجاح,الصيدليات,بيروت,بيروت-ارض جلول-صبرا ملك حسين سريس رقم العقار 5804/3,01/854547-01/854547
النجلاء الطبيه,الصيدليات,زحلة,برالياس -طريق الشام رقم العقارين 295و 296 ملك محمد احمد الحايك,08/513404
الندى,الصيدليات,الكورة,كفرحزير- الشارع العام بملكها عقار 2082 قسم رقم 5,06/951337
الندى,الصيدليات,الشوف,وادي الزينة-سبلين ملك عجوز رقم العقار 832,03/881687
النديم,الصيدليات,الشوف,بعاصير-الطريق العام-الفتيحات ملك امل دمج ومنير برحاق رقم العقار 47,03/895383
النمر,الصيدليات,بعلبك,بعلبك/دروس طريق التعاضد ملك علي محمد الطفيلي عقار 895 دروس,08/373939
النور,الصيدليات,بعلبك,شمسطار حي الثانوية اوتستراد الرئيسي رقم العقار 3797 ملك سيف الدين اسعد سلمان,08/330085
النور,الصيدليات,بعلبك,بعلبك-ساحة السراي ملك الحاجة مرتضى عقار 3407,08/374494
النور,الصيدليات,بعبدا,حارة حريك-بعجور ملك علي خليل عقار 241 بلوك أ,01/558775
النور,الصيدليات,بعبدا,المريجة-الشارع العام تحويطة الغدير ملك عز الدين عقار 481 قسم VII,01/472211
النور,الصيدليات,عاليه,بحمدون الضيعة عقار رقم 160 قسم رقم 16 و 17 ملك غسان عبد النور عبدالنور,03/642323
النور الجديدة,الصيدليات,البقاع الغربي,بعلول حي الشارع العام طريق عام بعلول القرعون ملك أديب قاسم النسر عقار 2269,08/630075
الهادي,الصيدليات,بعبدا,برج البراجنة متفرغ من اوتوستراد هادي نصرالله- شارع الجاموس ملك حسين علي صالح عقار 1713 محلين رقم 6 و 7,01/476323
الهادي الجديدة,الصيدليات,بعلبك,يونين حي الغيضية الطريق العام رقم العقار 1853 ملك علي محمد النمر,08/305840
الهاشم,الصيدليات,جبيل,حالات حي البعلبكية الطريق العام ملك ناديا توفيق الراعي عقار 264 قسم أ/5,09/477026
الهام,الصيدليات,بعبدا,المريجة-البلدية-ملك محود دياب عقار 7/1843,01/471072
الهبر,الصيدليات,بعبدا,فرن الشباك-اوتوستراد التحويطة سعد ويوسف شيبان عقار 139,01/292974
الهدى,الصيدليات,الشوف,الجية -حي السعديات -الشارع العام -عقار رقم 4137 ملك زكريا محمد الاسعد,07/995736
الهدى,الصيدليات,بعبدا,الشياح-اسعد الاسعد ملك الخنساء عقار 1321,01/279835
الهدى,الصيدليات,عاليه,دوحة عرمون-القبة عقار 8/2208 ملك ماهر احمد نطفجي والقسم رقم 9 ملك محمود و حنان نطفجي من نفس العقار,05/807766
الهدى الجديدة,الصيدليات,بعبدا,برج البراجنة-الاوزاعي-مفرق البرج-ملك مصطفى المقداد عقار 3908,03/168469
الهرمل الكبرى,الصيدليات,الهرمل,الهرمل-الضعية-شارع الهرمل الرئيسي مقابل مبنى السرايا الجديد ملك عادل بن صادق شاهين عقار 1286,08/200947
الهلا,الصيدليات,الشوف,المغيرية-الساحة عقار غير ممسوح,07/974040
الهلا,الصيدليات,بعبدا,الحدث-ملك حسن عباس عقار 6/429,05/467132
الهلال,الصيدليات,بيروت,الاوزاعي قرب محطة الحرج 1149 ملك نسيب البربير,01/630095
الهناء,الصيدليات,بعبدا,برج البراجنة-الامام علي-المنشية ملك نظيرة ادريس عقار 964,01/472922
الهندي,الصيدليات,كسروان,بلونه الشارع العام الجديد ملك رومل عواد عقار 1234,09/219094
الوحدة,الصيدليات,زحلة,برالياس-الطريق العام ملك عبدالله الدلباني عقار 253,NA
الوداد,الصيدليات,المنية الضنية,بخعون حي الشرفة الشارع العام ملك بدرية عيد وحمد صالح وحسين البب عقار 167,06/241414
الوداد,الصيدليات,زحلة,الفرزل عقار رقم 2938 حي الساحة شارع وسط البلدة ملك شاهين يوسف مهنا و جرجس يوسف مهنا,08/951361
الوردية,الصيدليات,كسروان,ذوق مصبح-الساحة ملك نمر صليبا عقار 2328,09/215510
الوردية,الصيدليات,بيروت,راس بيروت-المعماري-الحمراء ملك حسين وحبيب الشاعر رقم العقار 1435 قسم 12 و 21,01/751345-01/343679
الوردية,الصيدليات,عاليه,القبة العقار 1243 في منطقة القبة العقارية ملك حسان عادل الجردي,05/806608
الوزان,الصيدليات,بيروت,طريق الجديدة-البستاني-حميدي صقر رقم العقار 2321,01/314908
الوزان د. ت.,الصيدليات,بيروت,بيروت بين ساحة رياض الصلح شارع موريس باريس و الرينغ عقار 108/زقاق البلاط بناية شاكر و عويني ملك احمد غسان شاكر و عمرو غسان شاكر و شركة التعمير والزراعة,01/989088
الوسام,الصيدليات,الشوف,كفرحيم - ملك سامر ونظام ابو خزام رقم العقار 855,05/720541
الوسام,الصيدليات,الشوف,برجا حي الروس الساحة العامة ملك حسن محمد سيف الدين عقار 1359/12,07/920662
الوطن,الصيدليات,الشوف,حارة الناعمة-الطريق العام ملك مصطفى علي طاهر عقار 4 ؤ 5 أ,03/973639
الوطنية,الصيدليات,كسروان,جونية-ملك دير الشرفة شارع الميناء الجديدة عقار 123,09/934007
الوطنية ناسيونال,الصيدليات,زحلة,زحلة-حوش الامراء الشارع العام ملك خليل نحاس عقار 158,08/817808
الوف,الصيدليات,بيروت,بيروت- المزرعة شارع بدارو رقم العقار 8/5101 ملك سامي الوف,01/382082
الوفاء,الصيدليات,المنية الضنية,المنيه حي البلاط الشارع العام ملك احمد محمد ديب الاحمد قائمة على المخزنين من العقار 2166,NA
الوفاء,الصيدليات,بعلبك,بعلبك-الشيخ حبيب-ملك الحاج عبد الرحيم عساف عقار 6160,08/376730
الوفاء,الصيدليات,بعبدا,الغبيري-السفارة الكويتية-قرب محطة الرحاب ملك علي رشيد شحرور عقار 6/6918 قسم B,01/821121
الوفاء,الصيدليات,عاليه,الشويفات-طريق صيدا القديمة القبة ملك اسماعيل حيدر عقار 1131,05/436861
الوقاية - PREVENTION,الصيدليات,كسروان,"عشقوت- حي البلدية شارع البلدية ملك ماريا اديب الشويري، كارل الشدياق و كيفن الشدياق عقار 292 الاقسام 9 ، 10 ، و 11",09/958693
الوها,الصيدليات,بيروت,المزرعة-النويري ملك احمد علي موسى رقم العقار 6/1225,01/631652
اليامن,الصيدليات,الشوف,جديدة الشوف حي بقعاتا -طريق عام بقعاتا عين وزين -عقار رقم غير ممسوح ملك وسام محمد كيوان,05/506408
اليت,الصيدليات,بيروت,بيروت -برج ابي حيدر ملك محمد حيدر احمد رقم العقار 9/5198,01/301058
